Time, Temp[C], CO2[ppm], TVOC[ppm], Rain[V], Noise[dBV], Wind[mV], Sun[V], Battery[V], Current[mA], Watt[mW]
2018-09-20_14:07, None, 400, 0, 0, 4.352, None, 0.0, 4.018, 21.654, 0.0
2018-09-20_14:08, None, 400, 0, 0, 4.352, None, 0.0, 4.003, 23.716, 0.0
2018-09-20_14:11, 25.5625, 402, 0, 0, 4.352, None, 0.0, 4.008, 23.716, 0.0
2018-09-14_11:33, 25.8125, 433, 5, 0, 4.352, None, 0.0, 4.027, 23.716, 0.0
2018-09-14_11:32, 25.875, None, None, 0, 4.352, None, 0.0, 3.993, 20.623, 0.0
