Time, Temp[C], CO2[ppm], TVOC[ppm], Rain[V], Noise[dBV], Wind[mV], Sun[V], Battery[V], Current[mA], Watt[mW]
2018-09-14_11:33, 23.625, 409, 1, 0, 4.352, None, None, None, None, None
2018-09-14_11:33, 23.625, 411, 1, 0, 4.352, None, None, None, None, None
2018-09-14_11:34, 23.5625, 409, 1, 0, 4.352, None, None, None, None, None
2018-09-14_11:34, 23.6875, 406, 0, 0, 4.352, None, None, None, None, None
2018-09-14_11:34, 23.5625, 413, 1, 0, 4.352, None, None, None, None, None
2018-09-14_11:34, 23.6875, 413, 1, 0, 4.352, None, None, None, None, None
2018-09-14_11:35, 23.6875, 408, 1, 0, 4.352, None, None, None, None, None
2018-09-14_11:35, 23.625, 400, 0, 0, 4.352, None, None, None, None, None
2018-09-14_11:36, 23.75, 403, 0, 0, 4.352, None, None, None, None, None
2018-09-14_11:36, 23.625, 414, 2, 0, 4.352, None, None, None, None, None
2018-09-14_11:36, 23.6875, 407, 1, 0, 4.352, None, None, None, None, None
2018-09-14_11:36, 23.75, 407, 1, 0, 4.352, None, None, None, None, None
2018-09-14_11:37, 23.8125, 408, 1, 0, 4.352, None, None, None, None, None
2018-09-14_11:37, 23.5625, 414, 2, 0, 4.352, None, None, None, None, None
2018-09-14_11:37, 23.5625, 414, 2, 0, 4.352, None, None, None, None, None
2018-09-14_11:37, 23.5625, 416, 2, 0, 4.352, None, None, None, None, None
2018-09-14_11:38, 23.625, 416, 2, 0, 4.352, None, None, None, None, None
2018-09-14_11:38, 23.75, 400, 0, 0, 4.352, None, None, None, None, None
2018-09-14_11:39, 23.8125, 400, 0, 0, 4.352, None, None, None, None, None
2018-09-14_11:39, 23.875, 405, 0, 0, 4.352, None, None, None, None, None
2018-09-14_11:39, 23.8125, 405, 0, 0, 4.352, None, None, None, None, None
2018-09-14_11:39, 23.8125, 407, 1, 0, 4.352, None, None, None, None, None
2018-09-14_11:40, 23.625, 415, 2, 0, 4.352, None, None, None, None, None
2018-09-14_11:40, 23.625, 421, 3, 0, 4.352, None, None, None, None, None
2018-09-14_11:40, 23.8125, 411, 1, 0, 4.352, None, None, None, None, None
2018-09-14_11:40, 23.75, 411, 1, 0, 4.352, None, None, None, None, None
2018-09-14_11:41, 23.6875, 425, 3, 0, 4.352, None, None, None, None, None
